[2023-05-26T19:25:06.715] [WARN] warn - Ruta GET /favicon.ico inexistentes
[2023-05-26T19:25:10.196] [WARN] warn - Ruta GET /favicon.ico inexistentes
[2023-05-26T19:25:20.327] [WARN] warn - Ruta GET /favicon.ico inexistentes
[2023-05-26T19:38:55.258] [WARN] warn - Ruta GET /favicon.ico inexistentes
[2023-05-26T19:39:01.517] [WARN] warn - Ruta GET /favicon.ico inexistentes
[2023-05-26T20:21:48.894] [WARN] warn - Ruta GET /favicon.ico inexistentes
[2023-05-26T20:21:54.778] [WARN] warn - Ruta GET /favicon.ico inexistentes
[2023-05-26T20:22:01.679] [WARN] warn - Ruta GET /favicon.ico inexistentes
[2023-05-26T20:27:14.125] [WARN] warn - Ruta GET /favicon.ico inexistentes
[2023-05-26T20:27:21.006] [WARN] warn - Ruta GET /favicon.ico inexistentes
[2023-05-26T20:29:05.609] [WARN] warn - Ruta GET /favicon.ico inexistentes
[2023-05-26T20:29:11.754] [WARN] warn - Ruta GET /favicon.ico inexistentes
[2023-05-26T20:29:41.681] [WARN] warn - Ruta GET /favicon.ico inexistentes
[2023-05-26T20:29:47.974] [WARN] warn - Ruta GET /favicon.ico inexistentes
[2023-05-26T20:30:38.373] [WARN] warn - Ruta GET /favicon.ico inexistentes
[2023-05-26T20:30:45.283] [WARN] warn - Ruta GET /favicon.ico inexistentes
[2023-05-26T20:30:50.994] [WARN] warn - Ruta GET /favicon.ico inexistentes
[2023-05-26T20:37:35.958] [WARN] warn - Ruta GET /favicon.ico inexistentes
[2023-05-26T20:37:42.508] [WARN] warn - Ruta GET /favicon.ico inexistentes
[2023-05-26T20:38:52.349] [WARN] warn - Ruta GET /favicon.ico inexistentes
[2023-05-26T20:38:59.235] [WARN] warn - Ruta GET /favicon.ico inexistentes
[2023-05-26T20:46:43.423] [WARN] warn - Ruta GET /favicon.ico inexistentes
[2023-05-26T20:49:44.578] [WARN] warn - Ruta GET /favicon.ico inexistentes
[2023-05-26T20:49:50.503] [WARN] warn - Ruta GET /favicon.ico inexistentes
[2023-05-26T20:49:56.829] [WARN] warn - Ruta GET /favicon.ico inexistentes
[2023-05-26T20:58:47.226] [WARN] warn - Ruta GET /favicon.ico inexistentes
[2023-05-26T20:58:55.273] [WARN] warn - Ruta GET /favicon.ico inexistentes
[2023-05-26T21:00:12.184] [WARN] warn - Ruta GET /favicon.ico inexistentes
[2023-05-26T21:00:18.898] [WARN] warn - Ruta GET /favicon.ico inexistentes
[2023-05-26T21:01:19.648] [WARN] warn - Ruta GET /favicon.ico inexistentes
[2023-05-26T21:01:25.961] [WARN] warn - Ruta GET /favicon.ico inexistentes
[2023-05-26T21:11:19.870] [WARN] warn - Ruta GET /favicon.ico inexistentes
[2023-05-26T21:11:23.669] [WARN] warn - Ruta GET /favicon.ico inexistentes
[2023-05-26T21:11:32.382] [WARN] warn - Ruta GET /favicon.ico inexistentes
[2023-05-26T21:11:36.422] [WARN] warn - Ruta GET /favicon.ico inexistentes
[2023-05-26T21:12:21.515] [WARN] warn - Ruta GET /favicon.ico inexistentes
[2023-05-26T21:12:28.210] [WARN] warn - Ruta GET /favicon.ico inexistentes
[2023-05-26T21:12:45.882] [WARN] warn - Ruta GET /favicon.ico inexistentes
[2023-05-26T21:13:03.446] [WARN] warn - Ruta GET /favicon.ico inexistentes
[2023-05-26T21:13:16.973] [WARN] warn - Ruta GET /favicon.ico inexistentes
[2023-05-26T21:13:21.206] [WARN] warn - Ruta GET /favicon.ico inexistentes
[2023-05-26T21:16:18.907] [WARN] warn - Ruta GET /favicon.ico inexistentes
[2023-05-26T21:16:28.045] [WARN] warn - Ruta GET /favicon.ico inexistentes
[2023-05-26T21:16:32.204] [WARN] warn - Ruta GET /favicon.ico inexistentes
[2023-05-26T21:16:48.585] [WARN] warn - Ruta GET /favicon.ico inexistentes
[2023-05-26T21:17:55.484] [WARN] warn - Ruta GET /favicon.ico inexistentes
[2023-05-26T21:18:02.172] [WARN] warn - Ruta GET /favicon.ico inexistentes
[2023-05-26T21:21:53.781] [WARN] warn - Ruta GET /favicon.ico inexistentes
[2023-05-26T21:23:48.119] [WARN] warn - Ruta GET /favicon.ico inexistentes
[2023-05-26T21:24:07.318] [WARN] warn - Ruta GET /favicon.ico inexistentes
[2023-05-26T21:24:52.415] [WARN] warn - Ruta GET /favicon.ico inexistentes
[2023-05-26T21:25:17.061] [WARN] warn - Ruta GET /favicon.ico inexistentes
[2023-05-26T21:25:24.206] [WARN] warn - Ruta GET /favicon.ico inexistentes
[2023-05-26T21:25:31.721] [WARN] warn - Ruta GET /favicon.ico inexistentes
[2023-05-26T21:25:35.979] [WARN] warn - Ruta GET /favicon.ico inexistentes
[2023-05-26T21:26:45.573] [WARN] warn - Ruta GET /favicon.ico inexistentes
[2023-05-26T21:32:24.706] [WARN] warn - Ruta GET /favicon.ico inexistentes
[2023-05-26T21:32:33.728] [WARN] warn - Ruta GET /favicon.ico inexistentes
[2023-05-26T21:32:40.329] [WARN] warn - Ruta GET /favicon.ico inexistentes
[2023-05-26T21:36:16.037] [WARN] warn - Ruta GET /favicon.ico inexistentes
[2023-05-26T21:36:20.059] [WARN] warn - Ruta GET /favicon.ico inexistentes
[2023-05-26T21:36:40.904] [WARN] warn - Ruta GET /favicon.ico inexistentes
[2023-05-26T21:36:51.747] [WARN] warn - Ruta GET /favicon.ico inexistentes
[2023-05-26T21:37:09.007] [WARN] warn - Ruta GET /favicon.ico inexistentes
[2023-05-26T21:37:16.675] [WARN] warn - Ruta GET /favicon.ico inexistentes
[2023-05-26T22:50:27.605] [WARN] warn - Ruta GET /favicon.ico inexistentes
[2023-05-26T22:50:31.654] [WARN] warn - Ruta GET /favicon.ico inexistentes
[2023-05-26T22:51:11.117] [WARN] warn - The email already exists!
[2023-05-26T22:51:11.241] [WARN] warn - Ruta GET /favicon.ico inexistentes
[2023-05-26T22:51:53.073] [WARN] warn - Ruta GET /favicon.ico inexistentes
[2023-05-26T22:52:06.894] [WARN] warn - Ruta GET /favicon.ico inexistentes
[2023-05-26T22:59:49.994] [WARN] warn - Ruta GET /favicon.ico inexistentes
[2023-05-27T11:36:19.152] [WARN] warn - Ruta GET /favicon.ico inexistentes
[2023-05-27T11:37:51.457] [WARN] warn - Ruta GET /favicon.ico inexistentes
[2023-05-27T11:38:26.706] [WARN] warn - Ruta GET /favicon.ico inexistentes
[2023-05-27T11:38:30.756] [WARN] warn - Ruta GET /favicon.ico inexistentes
[2023-05-27T11:38:37.147] [WARN] warn - Ruta GET /favicon.ico inexistentes
[2023-05-27T11:38:41.235] [WARN] warn - Ruta GET /favicon.ico inexistentes
[2023-05-27T11:38:49.012] [WARN] warn - Ruta GET /favicon.ico inexistentes
[2023-05-27T11:40:58.192] [WARN] warn - Ruta GET /favicon.ico inexistentes
[2023-05-27T11:41:11.936] [WARN] warn - Ruta GET /favicon.ico inexistentes
[2023-05-27T11:41:42.989] [WARN] warn - Ruta GET /favicon.ico inexistentes
[2023-05-27T11:42:06.622] [WARN] warn - Ruta GET /favicon.ico inexistentes
[2023-05-27T11:43:00.593] [WARN] warn - Ruta GET /favicon.ico inexistentes
[2023-05-27T11:43:32.383] [WARN] warn - Ruta GET /favicon.ico inexistentes
[2023-05-27T11:57:11.030] [WARN] warn - Ruta GET /favicon.ico inexistentes
[2023-05-27T11:57:12.172] [WARN] warn - Ruta GET /favicon.ico inexistentes
[2023-05-27T11:58:11.041] [WARN] warn - Ruta GET /favicon.ico inexistentes
[2023-05-27T12:02:28.425] [WARN] warn - Ruta GET /favicon.ico inexistentes
